Customer ID: 00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 32.0 years.
Customer ID: 0051a1d00ec9a4ff1a2f9aa32a4bb054cc9ba08e80be590aec39391ff3dc56e8, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 20.0 years.
Customer ID: 005c9fb2ba6c49b2098a662f64a9124ef95cbec5fcf4ebdb4dcbaaf83f979c51, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 46.0 years.
Customer ID: 00609a1cc562140fa87a6de432bef9c9f0b936b259ad3075eb2a65008df1dbab, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 28.0 years.
Customer ID: 0074c5948b6c96e7522f6f5c034b46cf08875b9a81c557a02bda0aedac355547, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 26.0 years.
Customer ID: 00761aefe07a2dd6ca110c99f3856ede55f20ff00ce754bf24c422c6746d05f3, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 26.0 years.
Customer ID: 00796ce0bc561897e7047a7b059867aa6424f63ec597e1fbb3a195e48d5f452b, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 23.0 years.
Customer ID: 00889357d9b1e0e3788fbe8fd7448580b9e51800f59196891c4796a9aaac0945, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 008a118b7c72fd3b8a614eb2672ddfc2a78434c5776af215f4e281fa7506b842, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 55.0 years.
Customer ID: 0091c0e943c92167ea78f6ac180636be4098b06c1a066cac6f064eab9dc76d3c, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 67.0 years.
Customer ID: 00a017d6e1010e117e3881be44027688795bf5f3c363696f7260d0ebe2727285, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 25.0 years.
Customer ID: 00a4f2c8cc87ffb0ea7db47b4b0b247b9ef11033c8d976f374f709a6fb80f1b9, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 21.0 years.
Customer ID: 00a64e86897e28b304195ad497bc63234a3ab00a5eb247930ff59398d765f04a, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 53.0 years.
Customer ID: 00a95aa4ba8d20f1bad415bab15ca6174a762f7550c819f4a1051fc7ee6bcb89, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 28.0 years.
Customer ID: 00aa02ce95fc11f654a76101fd39a3db6b29879fddd8f8b1e56b3e6fbe6fe8d8, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 24.0 years.
Customer ID: 00ac5119d21281802ecd309e8c7fa0b598e0be861f21caadefd9bc8cf3f87eed, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 60.0 years.
Customer ID: 00b1804e347ad55d1a75d7c07169e17d1890ad48953824879234177741a85955, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 53.0 years.
Customer ID: 00b5bd5358a05155631bf733a933ecff5eb872f5143af59994ff3e62a97476d7, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 51.0 years.
Customer ID: 00b6ec8613e51d8eadc5157f5a12ae1366ca29da7d44cc8d0ae1e667dea6f268, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 73.0 years.
Customer ID: 00b85712d5e677f7ae3bfa9f9b5780a6eb328e99aeea633f6e8a3df5589d6486, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 29.0 years.
Customer ID: 00be0a263381af38132d31225e8fb12fbc527c654b446484fb672a78118f037d, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 00c09e66121ad36f5a8d5039cda266d60bc53daac0b7ad14f19cbbf97be0b160, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 47.0 years.
Customer ID: 00c59bdfaf753688c62cc13f67382dd54275f776a2f6a6ebee11b27049d1d7f7, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 34.0 years.
Customer ID: 00cf4505ba84c01f03c47829352054483acb59a9492ed0eef597dcf030e9e58b, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 47.0 years.
Customer ID: 00d316a9b10b3d21094e4931f41a42ec7d093bbbd53c7b656ad830be8e6d1565, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 36.0 years.
Customer ID: 00d774cb18ec8f8c73f4a76846782013803b88f206dffd39638a15a8725a886c, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 55.0 years.
Customer ID: 00d781e94d9a533dceb85a8d50a898d5987ad9921ea8c6945c247be7220bdd81, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 44.0 years.
Customer ID: 00da14cc2ed13b9df1425be332f190877d6607aa7c79f761d7605231fd532814, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 23.0 years.
Customer ID: 00e66bb584bb15b519d91b1979bc7ba33fa0ac956000263db19c0036ac8bbb80, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 31.0 years.
Customer ID: 00ead79936275fbd3c9cf7863d2eb1b11e553789c48149fec39eb4086cb64642, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 43.0 years.
Customer ID: 00f422e9990c411c736a3d0a35a1eea4cdbef1d419fdede13c01eecb99da4176, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 31.0 years.
Customer ID: 00ff637ac0fc881ed8b09088ed68218924f87f4100842dbdaf2d26c138fcbf2e, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 65.0 years.
Customer ID: 00ffed0316ae807cb9439799d73cd61fd7f6479a0f9a19668ef442e3a775eb63, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 46.0 years.
Customer ID: 0115586b1ca570d4a4ef16b9a8e1cf62c9d519d43edc0bc7bdca09b5af2b1370, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 58.0 years.
Customer ID: 011d7b691e30ed7eb65d0f141dba11c0d4aa6d30b0625eddc713b7172d4585cf, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 51.0 years.
Customer ID: 01271359dce99de537d6a3fca3c4dfd3732b455ec5085dc0b1623ab550fb821a, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 30.0 years.
Customer ID: 012bbedf2efe728a7407a5dc842a852f8e09e9ae9727110c916ae13ebbc86395, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 24.0 years.
Customer ID: 0132d21d866697c428e4d6ffb02548fd71966aa88c8f5adea314e2341f8ad87b, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 35.0 years.
Customer ID: 0137b87739a796f65396d8483173f66318039d19a2583f33f9014a6b6f38719e, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 25.0 years.
Customer ID: 01393ee2d1e9494965b723a22d3b09d992a1b450d17621c4c970ef7faf4d0d8c, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 24.0 years.
Customer ID: 013a3d7d6d974a818bcb8c5181b4f5016f8973550f42e1049b86053643ace6e2, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 20.0 years.
Customer ID: 013d1d9e3414787ec7bf048697592b6f76dec3bd5263e485e64429ce387ed09c, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 34.0 years.
Customer ID: 014838e4a1fadaaaa5bd2504b73861ef89db7a86b1d0b19f0fbd8bcdd5c3f414, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 35.0 years.
Customer ID: 015e83393e4fc3b071ba6fc5f174bf3bf9813c88dcaf3e61e34c6525984d0ed1, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 49.0 years.
Customer ID: 01624a723db9eb160f1ce8148eea035963527b2ddca1816d5cd79b94bd16bd92, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 21.0 years.
Customer ID: 0163c83a9a9e6a6653ab4aaf448a2773168cb76e74712456c56ea722df4ee5d8, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 48.0 years.
Customer ID: 01657d86ad3c7c5a15c7de441cc0a57c3ed9a3618b368a61aac06070f585df78, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 54.0 years.
Customer ID: 016d8f0519d9e0572b3abebeab87408bad7a5c3a2840161f7de2f2900f39b6e6, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 36.0 years.
Customer ID: 016ee5d84576b72727d7c812df0080f8fa551ba7156593a5ae585b16608e8077, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 017ddc94fee40ab9a24af073a4c69282b4c04e094d53a96dc0c97642b5d3b25d, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 28.0 years.
Customer ID: 018584209ee49c1e2a461c7773bd642306432ff77eef6f32881c56bb3bf77de6, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 48.0 years.
Customer ID: 0193e3d59eb1a5625b36f53e947c0237ee16c4bd2f7ba7da4bb93efb9e17f66a, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 23.0 years.
Customer ID: 01959be607170cc2f092ee8fd13eda251b13cde70ef38dd37e37dcdadfde3b9e, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 0195ffd9003a84142a7fee9fbd85b97f111f054a1ee1587b2b98b60d506a5f1b, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 35.0 years.
Customer ID: 01a9a077a83eacc6fd946a60c4ca2aed16219fcd83d31e3110fa04630c42b96d, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 28.0 years.
Customer ID: 01b2ea4635479ad47c3a5eea6659e28f4f5ea16bbb6180bda7a7a3b18cade7bd, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 21.0 years.
Customer ID: 01b408ef638888ebabe6ba61e3e9cba93131152d371b50c8aded5eb1ca3aa3c0, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 35.0 years.
Customer ID: 01b855043167c672d20955a585f39f590a854238bd78149d4e0802362a40d2de, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 43.0 years.
Customer ID: 01bf0506fe8bb4b830a2b0a4459f11565f6b687c615008cdcd59b3abf6df4bd2, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 54.0 years.
Customer ID: 01c290bff9641834691fef7f4b68ad176353d6971ca85e22efeb92c3aa3ffd35, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 21.0 years.
Customer ID: 01c3653cafdd569ef34e36810d1c1bda71c0d425e568278d0cfe05cfb6604a1a, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 45.0 years.
Customer ID: 01cc2111fdf0603337bf82c79130e2144248bcec1a69cec7e28af56c0c78a4da, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 44.0 years.
Customer ID: 01cdaf4a8603d1aafd565d05a7e1013d1cca48ab378fa83a68cfe01b52874852, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 22.0 years.
Customer ID: 01d106a0b45ae7f169b3233d332bf325c80c24d4d160edeccf7d70905077fb86, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 33.0 years.
Customer ID: 01e464bf74b13a55df22de1528eff2b33749c0cd92953b62bd22dee2de17d1fd, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 23.0 years.
Customer ID: 01e9439a70175b81a0fcfe7c066a23890a57ca97b9b6d4209b041dfaace79f3e, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 52.0 years.
Customer ID: 01ef5256e6264e9d50b11a08e9cfb2f2291324fedb4140cf7b4ad070548ffd8f, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 46.0 years.
Customer ID: 01f040495565a44cbee048d8a0340fe1ba46243565d634a9a574c69fa4b01ade, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 29.0 years.
Customer ID: 01f0af0b062a155ce270aa4cd7420795b115dd9320c143eaa10213f13ba346be, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 27.0 years.
Customer ID: 01fbe7968ede05b116c4d878d47ed4fd33db355c4b3311c2967858f059a65dde, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 30.0 years.
Customer ID: 01ff82d2792db8d2f92caa1e934fd6a122117f99a47f500ed25e550b7e066362, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 21.0 years.
Customer ID: 0200775b1e95937f4711156d1eccaff5c8d7f7627ad6ac7aa941ed2ad28ab693, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 36.0 years.
Customer ID: 02042b44255a14412b92f126844f9b33518e2cd598dc36d89d9931907e966076, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 26.0 years.
Customer ID: 020bf2b7e1b1d36c8b7ea7e09782d5cfc7d4c31a74066075a73ac6015ddf5122, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 49.0 years.
Customer ID: 0218014619321c250395c5cb9bc9f5323745113f61f3a136da2f3762df5930c9, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 25.0 years.
Customer ID: 021bfdd3e66576efce4fdffc66c8e7837abad6ac50c10d3ac2c912e5558efd8a, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 48.0 years.
Customer ID: 022064800152ad93969188799580e0d2173bc7696f6deec3157f0938315410b4, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 29.0 years.
Customer ID: 022d28daa94930566e6139ae25faa966bebd5684cc486c59588d7e9b92262c50, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 28.0 years.
Customer ID: 02334389c86031bc841c43b000006162d3bdadd0a88acd650eaebdb3f1beb9c5, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 25.0 years.
Customer ID: 023807eac529e635ef40b48d61685876c7487d129eb2384e3c335d8f66116874, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 54.0 years.
Customer ID: 023b48de81f6af9de6bef17e720e3873ce40df3f561c975cfd47eaef5f13d09d, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 19.0 years.
Customer ID: 02425a33ee2b4d547b1e4ca9ea521759a42f896af933bfd132f488ad3b6cceea, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 21.0 years.
Customer ID: 0246a0d28554496c1214de05bb45de56d41ba29bc356d79a7ce520aa40d7c2e6, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 25.0 years.
Customer ID: 0247a4cfbe56ac5e1c0b5a91b0ab0aad812f6fca13d4fd7dd72cf870d4195ec0, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 46.0 years.
Customer ID: 024cd49f530560442418b0fe9558ee9a79c62809b3bb3a6fbaaf04c2b9be9d2e, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 29.0 years.
Customer ID: 0257cce57bcfd65d958d44d09bd52c80b07b5a5aee9fc625599b6c13ee4e1b9e, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 51.0 years.
Customer ID: 02587f4f566315388f44a3daaa4525146d79d5ae6b2837cbf55591ec1512884d, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 40.0 years.
Customer ID: 025b18696068392821f083b1eebb31dee1f6704f243f909c025dfacd075bdaf2, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 54.0 years.
Customer ID: 0263bfe4004755185ded376e186511eedd9f5a190144ac6699fda9cb038ad178, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 41.0 years.
Customer ID: 026a1fb8bafd82f69183ae5dc8aea146c48c31d8ab03a3e711a9bc3fcec3a4b8, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 20.0 years.
Customer ID: 02703e242da346fc85f1aad21208d1103e62e705564c81ca2b6edf943032320a, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 53.0 years.
Customer ID: 02722fa427178b9ca33fdaf1050d1c15472432abd33e0048207701534feb5b20, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 52.0 years.
Customer ID: 02735a7da462484b0adb3857a81a6a062dd37d18a716a47318c467ef2a96f9f0, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 47.0 years.
Customer ID: 0274e757cd770c98113d22951237e9dd035fa27567c5d521987222af2e0f9592, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 24.0 years.
Customer ID: 0277917f4faac280023baecd03c3790b951a9403085da13631983b6c3d7eced0, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 19.0 years.
Customer ID: 028c2fb1495304ccc3208d8335ec2fe8fcfe19b47bb279df6a9bdb410332a082, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 24.0 years.
Customer ID: 028e765770e7b56b22210ffee86c332e849a52309bb253d62da0b44d082d66bf, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 53.0 years.
Customer ID: 0291b7341d510fd571abf640a3c5ca7a374e6eb832a60961da02033b41b66735, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: PRE-CREATE, Fashion News Frequency: NONE, Age: 39.0 years.
Customer ID: 029ceb992cb63df03c109790046e3fdebfce0b63c968823dd461b7f18ecc6b30, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 33.0 years.
Customer ID: 02a02c0969c67adde90ede610a54b365c31187872585eac40590c7327ebd7783, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 26.0 years.
Customer ID: 02a5fec03154399f739b4f8fbf1a43a9899fbbb24fd93cc9fd4674cab11cda8e, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 24.0 years.
Customer ID: 02aeb94d25610a3887b078c7eaf7d1196d0f041719ddc02ada82395bc05825fd, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 24.0 years.
Customer ID: 02b3db570d4063d8005de2fe1ba4d6fae39795dc37a993f0f6fba313f9a2a744, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 25.0 years.
Customer ID: 02b50a52742b3a894cd5d1381bd3f462c3e6eff30f9dde8640b3697db2fd024a, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 55.0 years.
Customer ID: 02ba264ea5c7130504924f49228bcbaaa9ee96b76a6b4b0a16e19e691cf59f7b, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 27.0 years.
Customer ID: 02bfe1a5248beb9cd28ad4ac630a6d75e78d9a3e14551abee7a5a28d5812ea77, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 51.0 years.
Customer ID: 02c13bb5a2502db80d1f18b7db8ac0e250df329ba2b4aa0ea64df812ef946d2e, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 59.0 years.
Customer ID: 02c92ae97b966ec20080b6b2d15ffa768c8cbaceee45c329e89a78526b357f7f, Fashion News Subscription: Not Subscribed, Active Status: Not Active, Club Member Status: ACTIVE, Fashion News Frequency: NONE, Age: 26.0 years.
Customer ID: 02c955452f97696cbb01186f456adc89f7dd9828c6e39012c400fd26cbda47b2, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 49.0 years.
Customer ID: 02cca9fa806e222df1332afe49102f67cc35970a39471d4737c770e94e5dc492, Fashion News Subscription: Subscribed, Active Status: Active, Club Member Status: ACTIVE, Fashion News Frequency: Regularly, Age: 30.0 years.
